enhancer	genes
HACNS_711	ENSG00000135636
humGainReg1003	ENSG00000128731,ENSG00000261581,ENSG00000206149,ENSG00000254398
humGainReg1004	ENSG00000206149,ENSG00000179938
humGainReg1011	ENSG00000169926,ENSG00000169918,ENSG00000201084,ENSG00000206987
humGainReg1012	ENSG00000201084,ENSG00000223509,ENSG00000261064
humGainReg1017	ENSG00000104133,ENSG00000140254,ENSG00000137857,ENSG00000137860,ENSG00000259520,ENSG00000259342,ENSG00000252285,ENSG00000259354
humGainReg1034	ENSG00000241640
humGainReg1035	ENSG00000234797
humGainReg1064	ENSG00000260104,ENSG00000261205,ENSG00000140386,ENSG00000140368,ENSG00000140368
humGainReg1070	ENSG00000213527
humGainReg1075	ENSG00000259609,ENSG00000259404
humGainReg1077	ENSG00000073417
humGainReg108	ENSG00000127603
humGainReg1087	ENSG00000140525,ENSG00000263714,ENSG00000240470,ENSG00000185033,ENSG00000185033,ENSG00000185033,ENSG00000185043,ENSG00000183208,ENSG00000259894,ENSG00000183208,ENSG00000213471,ENSG00000261147,ENSG00000228998
humGainReg1117	ENSG00000212306,ENSG00000131873,ENSG00000131876,ENSG00000259454
humGainReg1118	ENSG00000131873,ENSG00000177693,ENSG00000183909
humGainReg1135	ENSG00000140650,ENSG00000140650,ENSG00000153048,ENSG00000261481,ENSG00000153048
humGainReg1137	ENSG00000183044,ENSG00000183044
humGainReg1138	ENSG00000220793
humGainReg1148	ENSG00000234719
humGainReg1149	ENSG00000103381,ENSG00000241932
humGainReg115	ENSG00000117385,ENSG00000117394,ENSG00000227533
humGainReg1156	ENSG00000260242,ENSG00000260933,ENSG00000254681,ENSG00000233024
humGainReg1158	ENSG00000168447
humGainReg116	ENSG00000117385,ENSG00000117394,ENSG00000227533
humGainReg1163	ENSG00000169181
humGainReg1164	ENSG00000169181
humGainReg1180	ENSG00000103494,ENSG00000245694,ENSG00000176842,ENSG00000259711,ENSG00000259725
humGainReg1191	ENSG00000087253,ENSG00000256812,ENSG00000087253
humGainReg12	ENSG00000227950
humGainReg1202	ENSG00000183723
humGainReg1218	ENSG00000260880,ENSG00000260848
humGainReg125	ENSG00000226252,ENSG00000162367,ENSG00000227947,ENSG00000269709
humGainReg1265	ENSG00000260466,ENSG00000103257,ENSG00000158545
humGainReg1266	ENSG00000260162,ENSG00000261327,ENSG00000261816,ENSG00000260420
humGainReg1271	ENSG00000172530,ENSG00000261273,ENSG00000176715
humGainReg1273	ENSG00000181031,ENSG00000262061,ENSG00000167693,ENSG00000265403,ENSG00000159842
humGainReg1274	ENSG00000181031,ENSG00000262294,ENSG00000262558,ENSG00000167693,ENSG00000265403
humGainReg1275	ENSG00000167716,ENSG00000132386,ENSG00000186532,ENSG00000262533,ENSG00000263050,ENSG00000108963,ENSG00000262664,ENSG00000236838,ENSG00000236457,ENSG00000070366
humGainReg1277	ENSG00000255095
humGainReg1302	ENSG00000231458
humGainReg1303	ENSG00000083290
humGainReg1310	ENSG00000232859,ENSG00000267644,ENSG00000203482,ENSG00000237575,ENSG00000267259,ENSG00000203480,ENSG00000265060,ENSG00000266830,ENSG00000260777,ENSG00000266306,ENSG00000109083,ENSG00000109079,ENSG00000109072,ENSG00000273171,ENSG00000004139
