Gene	ModuleAssignment	Blocks	intramodule.Connectivity..unpowered.	HubGenes	external_gene_name
ENSG00000000003	2	1	3638.296313	hub10;hub5	TSPAN6
ENSG00000000005	2	1	2536.873063	 	TNMD
ENSG00000000419	2	2	2875.323145	 	DPM1
ENSG00000000457	2	1	2217.413777	 	SCYL3
ENSG00000000460	3	1	2720.406478	hub10	C1orf112
ENSG00000000938	10	1	336.8609819	 	FGR
ENSG00000000971	10	1	409.3521493	 	CFH
ENSG00000001036	2	1	3530.522515	hub10	FUCA2
ENSG00000001084	2	2	2920.079235	 	GCLC
ENSG00000001167	2	2	2640.165118	 	NFYA
ENSG00000001460	29	3	80.39222149	 	STPG1
ENSG00000001461	36	1	78.21472283	 	NIPAL3
ENSG00000001497	2	1	3108.67369	 	LAS1L
ENSG00000001561	16	1	235.938252	hub10;hub5	ENPP4
ENSG00000001617	4	2	2084.696611	 	SEMA3F
ENSG00000001626	1	3	4454.029503	 	CFTR
ENSG00000001629	22	1	141.9156069	 	ANKIB1
ENSG00000001630	9	2	489.2289176	 	CYP51A1
ENSG00000001631	2	1	2938.9135	 	KRIT1
ENSG00000002016	5	1	1456.610627	hub10;hub5	RAD52
ENSG00000002079	3	1	1414.558938	 	MYH16
ENSG00000002330	8	2	390.1456271	 	BAD
ENSG00000002549	2	1	2985.95139	 	LAP3
ENSG00000002586	24	1	176.3590753	hub10;hub5	CD99
ENSG00000002587	3	1	1645.297091	 	HS3ST1
ENSG00000002726	1	3	3858.230806	 	AOC1
ENSG00000002745	6	1	897.8965978	 	WNT16
ENSG00000002746	4	2	1420.232166	 	HECW1
ENSG00000002822	16	1	220.4958608	 	MAD1L1
ENSG00000002834	9	2	389.7237818	 	LASP1
ENSG00000002919	5	2	601.2719417	 	SNX11
ENSG00000002933	10	1	405.1007839	 	TMEM176A
ENSG00000003056	2	1	3009.325302	 	M6PR
ENSG00000003096	4	2	1223.530172	 	KLHL13
ENSG00000003137	4	2	904.1092976	 	CYP26B1
ENSG00000003147	2	1	2990.170669	 	ICA1
ENSG00000003249	4	2	2112.821612	hub10	DBNDD1
ENSG00000003393	2	2	2801.214098	 	ALS2
ENSG00000003400	10	1	388.4455782	 	CASP10
ENSG00000003402	5	1	1133.433408	 	CFLAR
ENSG00000003436	6	1	830.7386157	 	TFPI
ENSG00000003509	4	2	1367.452184	 	NDUFAF7
ENSG00000003756	35	2	77.54151285	 	RBM5
ENSG00000003987	2	1	3062.123674	 	MTMR7
ENSG00000003989	10	1	439.6840518	 	SLC7A2
ENSG00000004059	9	2	437.2632423	 	ARF5
ENSG00000004139	7	2	1088.346758	hub10	SARM1
ENSG00000004142	2	2	1516.896759	 	POLDIP2
ENSG00000004399	3	1	1131.632206	 	PLXND1
ENSG00000004455	2	1	3528.916346	hub10;hub5	AK2
ENSG00000004468	1	3	4168.740875	 	CD38
ENSG00000004478	2	1	2261.566193	 	FKBP4
ENSG00000004487	0	1	457.123082	 	KDM1A
ENSG00000004534	35	2	93.14573858	 	RBM6
ENSG00000004660	4	2	1686.96741	 	CAMKK1
ENSG00000004700	4	2	2129.646539	hub10	RECQL
ENSG00000004766	16	1	208.9758613	 	VPS50
ENSG00000004776	3	1	2410.476331	 	HSPB6
ENSG00000004777	4	2	2211.365969	hub10;hub5	ARHGAP33
ENSG00000004779	5	2	1164.546656	 	NDUFAB1
ENSG00000004799	4	2	1253.943401	 	PDK4
ENSG00000004809	6	1	1091.585932	 	SLC22A16
ENSG00000004838	6	1	1057.382404	 	ZMYND10
ENSG00000004846	1	3	5492.775283	 	ABCB5
ENSG00000004848	3	1	2643.117097	 	ARX
ENSG00000004864	2	1	3335.292426	 	SLC25A13
ENSG00000004866	2	1	2044.108036	 	ST7
ENSG00000004897	4	2	1570.298774	 	CDC27
ENSG00000004939	6	1	1223.325541	hub10;hub5	SLC4A1
ENSG00000004948	1	3	2806.950055	 	CALCR
ENSG00000004961	4	2	1721.987409	 	HCCS
ENSG00000004975	3	1	2904.610228	hub10;hub5	DVL2
ENSG00000005001	6	1	765.9792953	 	PRSS22
ENSG00000005007	7	2	1075.76691	 	UPF1
ENSG00000005020	2	1	1563.095157	 	SKAP2
ENSG00000005022	35	2	81.82396731	 	SLC25A5
ENSG00000005059	2	1	3554.437022	hub10	MCUB
ENSG00000005073	1	3	4302.82341	 	HOXA11
ENSG00000005075	2	2	3311.490666	 	POLR2J
ENSG00000005100	5	1	1294.075806	 	DHX33
ENSG00000005102	6	1	616.738286	 	MEOX1
ENSG00000005108	0	1	436.1708836	 	THSD7A
