Enhancer	hic.CP	hic.GZ	hic.CP.promoter	hic.GZ.promoter
HARv2_234	ENSG00000162482,ENSG00000235185,ENSG00000270136,ENSG00000173436	ENSG00000270136,ENSG00000173436	ENSG00000162482,ENSG00000235185,ENSG00000270136,ENSG00000173436	NA
HARv2_355	ENSG00000117614,ENSG00000117616,ENSG00000272432,ENSG00000261349,ENSG00000187010,ENSG00000188672,ENSG00000117643,ENSG00000162430	ENSG00000117616,ENSG00000187010	ENSG00000117614,ENSG00000117616,ENSG00000272432,ENSG00000261349,ENSG00000187010,ENSG00000162430	NA
HARv2_492	NA	ENSG00000187147	NA	NA
HARv2_169	NA	NA	NA	NA
HARv2_137	ENSG00000212360,ENSG00000132849	ENSG00000212360,ENSG00000132849	ENSG00000212360	ENSG00000212360,ENSG00000132849
HACNS_893	NA	ENSG00000153936	NA	NA
HACNS_87	NA	NA	NA	NA
HACNS_243	NA	NA	NA	NA
HARv2_309	NA	NA	NA	NA
HACNS_568	NA	NA	NA	NA
HACNS_185	ENSG00000163531	ENSG00000200408,ENSG00000198625,ENSG00000163531	ENSG00000163531	ENSG00000200408,ENSG00000163531
HACNS_946	NA	NA	NA	NA
HACNS_986	NA	NA	NA	NA
HACNS_542	NA	NA	NA	NA
HACNS_507,HARv2_471	NA	NA	NA	NA
HACNS_25	ENSG00000151474	ENSG00000151474	NA	NA
HARv2_80	ENSG00000120586	ENSG00000148482	NA	ENSG00000148482
HARv2_174	NA	NA	NA	NA
HACNS_449	ENSG00000099256,ENSG00000151023	ENSG00000099256,ENSG00000151023,ENSG00000185875	NA	ENSG00000185875,ENSG00000151023
HACNS_148	NA	NA	NA	NA
HACNS_154	NA	NA	NA	NA
HACNS_224	ENSG00000107736	ENSG00000107736	ENSG00000107736	ENSG00000107736
HACNS_617	NA	NA	NA	NA
HACNS_480	NA	NA	NA	NA
HACNS_342	NA	NA	NA	NA
