HGE_3095	PAPPA
HGE_660	HTR3A
HGE_3128	PRDM12
HGE_1969	MGAT3
HGE_134	FOXE3
HGE_134	FOXD2
HGE_1481	PHLPP1
HGE_1345	TOB1
HACNS_413	TGFBR1
HGE_2198	KIAA0232
HGE_2198	GRPEL1
2xHAR.233	RP11-352D3.2
HGE_1365	CACNG5
HACNS_290	SMPD3
HGE_567	ALX4
2xHAR.23	CPLX4
HGE_2807	LRRC4
HGE_1947	TIMP3
HGE_2026	CMTM8
HGE_3140	C9orf171
HGE_2425	FSTL4
HACNS_429,2xHAR.123	HIC1
HACNS_429,2xHAR.123	OVCA2
HGE_386	COL13A1
HGE_2000	MIOX
HACNS_199,2xHAR.27	GATA3
HGE_633	ARAP1
HGE_633	STARD10
HGE_219	PDE4DIP
HGE_1101	AC087477.1
HGE_2184	RNF4
HGE_601	POLD4
HGE_1727	SP3
HGE_745	AC121757.1
HGE_745	KRT83
HGE_2879	CLDN23
HGE_1343	TMEM92
HGE_3004	UHRF2
HGE_593	SCGB1A1
HGE_593	EEF1G
HGE_1545	BBC3
HGE_1545	CCDC9
HGE_2582	CDKN1A
HGE_2582	CPNE5
HGE_228	ITLN2
HGE_2185	RGS12
HGE_1512	DNM2
HGE_615	FGF4
HGE_615	AP001888.1
HGE_209	DDX20
HGE_209	FAM212B
HGE_2028	ITGA9
HGE_1548	CTD-3148I10.1
HGE_1548	PTH2
HGE_66	HSPG2
HGE_2529	OR2V2
HGE_2153	HES1
HGE_620	ANO1
HGE_2615	TMEM14A
HGE_924	ZFP36L1
HGE_697	C11orf44
HGE_692	C11orf44
HGE_1359	RGS9
HGE_1838	THBD
HGE_93	KIAA1522
HGE_1542	PLAUR
HGE_1542	PLAUR
HGE_550	PLEKHA7
HGE_641	WNT11
HGE_2924	AP3M2
HGE_1958	MAFF
HGE_1958	DMC1
HGE_642	ARRB1
HGE_642	WNT11
HGE_2555	RREB1
HGE_2903	FZD3
HGE_2903	FBXO16
HGE_2903	FZD3
HGE_2507	FBXW11
HGE_30	CASZ1
HGE_1605	DPYSL5
HGE_1291	NTN1
HGE_2952	SDC2
HGE_799	RILPL2
HGE_556	RCN1
2xHAR.409	IQCA1
HGE_2626	BACH2
HGE_1029	CGNL1
2xHAR.196	FRMPD1
HGE_1050	LCTL
HGE_2914	BRF2
HGE_2971	EXT1
HGE_2971	EXT1
HGE_1661	TRABD2A
HGE_1591	SDC1
HGE_3067	CORO2A
HGE_1085	ZNF710
HGE_2008	RAD18
HGE_1950	LARGE
HGE_2797	CUX1
HGE_2693	TCP10L2
HGE_1975	PMM1
HGE_1975	PMM1
HGE_2186	TMEM128
HGE_2227	SHROOM3
HGE_1169	ZNF423
HGE_3110	OLFML2A
HGE_3110	ARPC5L
HGE_3110	RPL35
HGE_2989	KCNQ3
HGE_3037	PSAT1
HGE_2487	SLIT3
HGE_2487	SPDL1
HGE_2487	SPDL1
HGE_207	KCNA10
HGE_1142	TNP2
HGE_1142	PRM1
HGE_1868	BCAS4
HGE_616	FGF19
HGE_616	FGF4
HGE_616	AP001888.1
HGE_1312	RAB11FIP4
HGE_322	CALML3
HGE_264	SERTAD4
HGE_147	ELAVL4
HGE_1676	ANKRD23
HGE_1676	SEMA4C
HGE_1676	ANKRD39
HGE_1824	BANF2
HGE_1403	PTPRM
HGE_1427	CABLES1
HACNS_913	DLX6
HGE_2901	CLU
2xHAR.355	SEPN1
HGE_654	MMP8
2xHAR.250	KLHL24
2xHAR.250	YEATS2
HGE_1117	LRRK1
HGE_1117	CHSY1
HGE_2813	ATP6V1F
HGE_2974	SNTB1
HGE_375	GPRIN2
HGE_375	NPY4R
HGE_375	GPRIN2
HGE_1323	ACLY
HGE_1274	NXN
HGE_1497	SALL3
HGE_1342	PPP1R9B
HGE_2114	MFSD1
HGE_2114	RARRES1
HGE_226	ISG20L2
HGE_226	RRNAD1
HGE_944	ACYP1
HGE_594	SCGB1A1
HGE_594	EEF1G
HGE_122	DMBX1
HACNS_860	AC132216.1
HGE_1067	CRABP1
HGE_1067	CHRNA5
HGE_1371	SDK2
HGE_212	OLFML3
HGE_2853	AC008060.7
HGE_2853	EN2
HGE_1129	ADCY9
HGE_2962	NCALD
HGE_21	SLC45A1
HGE_21	ERRFI1
HGE_2219	APBB2
HGE_431	FFAR4
HACNS_485	DLX6
2xHAR.195	FDXR
HGE_1025	PRTG
HGE_1816	TMEM230
HGE_2379	FOXD1
2xHAR.342	SLC4A10
HGE_940	SYNDIG1L
HGE_2513	SH3PXD2B
HGE_1337	DLX4
HGE_1667	REEP1
HGE_2925	AP3M2
HGE_2608	MRPS18A
HGE_1032	CGNL1
HGE_758	LGR5
HGE_758	TSPAN8
HGE_1932	PCBP3
HGE_1953	TXN2
HGE_238	KLHL20
2xHAR.263	EXT1
HGE_723	CD9
HGE_3063	FOXE1
HGE_132	FOXD2
2xHAR.343	GALNT12
HGE_739	AC068987.1
HGE_544	WEE1
HGE_544	SWAP70
